Year,Month,Day,Source Port,Destination Port,Protocol,Packet Length,Packet Type,Traffic Type,Malware Indicators,Anomaly Scores,Alerts,Attack Type,Attack Signature,Action Taken,Severity Level,User Information,Device Information,Network Segment,States,Proxy Information,Firewall Logs,IPS Alerts,Log Source,Source IP Address,Destination IP Address
2022,November,12,21301,52187,TCP,642,Data,DNS,IoC Detected,9.68,Alert Triggered,Intrusion,Known Pattern A,Ignored,Medium,Taimur Butala,Opera/9.60.(X11; Linux i686; so-SO) Presto/2.9.178 Version/12.00,Segment C,West Bengal,Unknown,Log Data,Unknown,Firewall,174.139.12.58,70.176.218.213
2021,January,18,46367,45949,UDP,567,Data,FTP,Unknown,9.74,Alert Triggered,DDoS,Known Pattern B,Blocked,High,Ojas Basak,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/531.1 (KHTML, like Gecko) Chrome/46.0.869.0 Safari/531.1",Segment B,Madhya Pradesh,173.251.106.8,Log Data,Alert Data,Firewall,73.138.95.58,42.70.66.255
2021,October,4,8462,34475,TCP,982,Data,DNS,Unknown,7.61,Alert Triggered,Intrusion,Known Pattern B,Logged,Low,Zeeshan Vala,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_3_3 like Mac OS X) AppleWebKit/535.0 (KHTML, like Gecko) FxiOS/15.6l7467.0 Mobile/18D170 Safari/535.0",Segment A,Sikkim,194.196.225.92,Log Data,Alert Data,Firewall,10.2.211.217,38.155.39.105
2023,June,18,64849,54642,UDP,1444,Data,FTP,Unknown,27.71,Unknown,DDoS,Known Pattern B,Logged,High,Hrishita Chaudhari,Opera/8.37.(X11; Linux i686; raj-IN) Presto/2.9.180 Version/10.00,Segment A,Meghalaya,183.77.109.116,Unknown,Unknown,Server,107.110.208.180,186.253.213.245
2022,December,10,22375,29189,UDP,1039,Control,FTP,IoC Detected,6.76,Alert Triggered,DDoS,Known Pattern A,Logged,Medium,Kartik Shanker,Mozilla/5.0 (Windows CE; ca-AD; rv:1.9.2.20) Gecko/2500-05-11 09:40:26 Firefox/3.6.8,Segment C,Rajasthan,223.180.155.72,Log Data,Alert Data,Server,48.203.227.115,107.244.12.208
2023,June,23,41090,58632,ICMP,962,Data,DNS,IoC Detected,8.05,Unknown,Intrusion,Known Pattern B,Logged,Low,Vardaniya Ramaswamy,Opera/8.98.(X11; Linux x86_64; li-BE) Presto/2.9.182 Version/11.00,Segment C,Andhra Pradesh,40.241.170.60,Log Data,Alert Data,Firewall,143.149.75.158,195.107.29.22
2022,February,5,60669,28284,ICMP,1095,Data,DNS,Unknown,26.7,Alert Triggered,DDoS,Known Pattern A,Blocked,Medium,Ivan Keer,"Mozilla/5.0 (iPod; U; CPU iPhone OS 4_3 like Mac OS X; niu-NZ) AppleWebKit/535.16.1 (KHTML, like Gecko) Version/4.0.5 Mobile/8B115 Safari/6535.16.1",Segment C,Punjab,Unknown,Unknown,Alert Data,Firewall,181.116.2.65,42.208.221.154
2023,August,12,48208,33476,UDP,1374,Control,DNS,Unknown,66.51,Unknown,Malware,Known Pattern A,Blocked,Low,Renee Reddy,"Mozilla/5.0 (iPad; CPU iPad OS 4_2_1 like Mac OS X) AppleWebKit/531.1 (KHTML, like Gecko) FxiOS/14.8b4761.0 Mobile/93K769 Safari/531.1",Segment A,Andhra Pradesh,Unknown,Unknown,Unknown,Firewall,29.90.12.40,152.247.148.229
2021,December,20,36376,42799,TCP,812,Control,FTP,Unknown,55.27,Unknown,Intrusion,Known Pattern B,Ignored,Low,Divij Sundaram,"Mozilla/5.0 (Windows; U; Windows NT 4.0) AppleWebKit/531.11.1 (KHTML, like Gecko) Version/4.0.3 Safari/531.11.1",Segment C,Maharashtra,Unknown,Log Data,Unknown,Server,146.22.93.211,35.220.140.195
2022,November,24,50975,23973,ICMP,271,Control,DNS,IoC Detected,87.7,Unknown,Intrusion,Known Pattern A,Logged,High,Jivin Bose,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_9 rv:4.0; brx-IN) AppleWebKit/535.1.1 (KHTML, like Gecko) Version/5.1 Safari/535.1.1",Segment A,Rajasthan,Unknown,Log Data,Unknown,Server,134.119.202.205,194.190.167.32
2021,August,12,58411,40942,TCP,1034,Control,HTTP,Unknown,76.26,Unknown,Malware,Known Pattern B,Ignored,Medium,Veer Mann,Mozilla/5.0 (compatible; MSIE 8.0; Windows CE; Trident/4.0),Segment A,Jharkhand,76.216.22.226,Unknown,Unknown,Firewall,1.243.161.175,109.193.48.246
2022,June,16,5319,50017,ICMP,428,Data,HTTP,IoC Detected,6.66,Alert Triggered,Intrusion,Known Pattern A,Ignored,Low,Kashvi Raj,Mozilla/5.0 (Windows 98; Win 9x 4.90; os-RU; rv:1.9.0.20) Gecko/3274-03-30 20:08:08 Firefox/3.6.3,Segment C,Gujarat,97.156.218.153,Log Data,Alert Data,Server,220.166.188.54,81.245.193.202
2021,November,21,6867,42525,ICMP,300,Control,DNS,Unknown,76.64,Alert Triggered,Malware,Known Pattern A,Logged,High,Kavya Chakraborty,Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 4.0; Trident/5.0),Segment C,West Bengal,92.240.8.51,Unknown,Alert Data,Firewall,30.146.91.78,163.231.32.52
2022,September,4,32019,52578,TCP,274,Data,HTTP,Unknown,97.96,Alert Triggered,Malware,Known Pattern A,Ignored,High,Tara Shroff,"Mozilla/5.0 (iPhone; CPU iPhone OS 7_1_2 like Mac OS X) AppleWebKit/535.2 (KHTML, like Gecko) CriOS/23.0.833.0 Mobile/02A181 Safari/535.2",Segment A,Uttar Pradesh,Unknown,Log Data,Alert Data,Server,189.92.169.154,210.115.186.187
2020,June,4,51711,48840,TCP,983,Control,DNS,IoC Detected,59.01,Alert Triggered,Malware,Known Pattern A,Logged,Low,Sana Biswas,Opera/8.16.(X11; Linux x86_64; ky-KG) Presto/2.9.181 Version/12.00,Segment C,Rajasthan,193.22.17.138,Log Data,Alert Data,Firewall,75.170.2.44,96.226.86.135
2022,September,3,60972,54289,ICMP,622,Data,DNS,IoC Detected,64.43,Unknown,DDoS,Known Pattern A,Blocked,Low,Zara Dalal,Mozilla/5.0 (Android 7.1.2; Mobile; rv:9.0) Gecko/9.0 Firefox/9.0,Segment C,Himachal Pradesh,Unknown,Unknown,Unknown,Firewall,120.241.136.107,159.254.32.21
2021,June,19,27086,45994,ICMP,368,Data,FTP,Unknown,47.53,Alert Triggered,Malware,Known Pattern A,Ignored,High,Misha Zacharia,Opera/9.95.(X11; Linux x86_64; gez-ER) Presto/2.9.186 Version/10.00,Segment B,Madhya Pradesh,Unknown,Log Data,Unknown,Firewall,131.208.130.253,65.138.101.230
2023,July,19,29413,24760,ICMP,1338,Control,DNS,Unknown,45.85,Unknown,Malware,Known Pattern B,Logged,Medium,Aradhya Sanghvi,Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 5.2; Trident/3.0),Segment B,Madhya Pradesh,153.60.54.40,Log Data,Alert Data,Server,93.131.133.51,192.253.174.42
2022,June,3,59682,5169,TCP,765,Data,HTTP,Unknown,33.86,Unknown,DDoS,Known Pattern A,Ignored,Medium,Alia Gara,Mozilla/5.0 (Windows NT 5.1; as-IN; rv:1.9.1.20) Gecko/4805-03-14 16:09:22 Firefox/9.0,Segment B,Goa,101.251.231.62,Log Data,Alert Data,Server,50.213.108.194,59.25.59.96
2020,December,8,26627,10392,ICMP,134,Data,HTTP,IoC Detected,2.28,Unknown,Malware,Known Pattern B,Blocked,High,Dhruv Wali,"Mozilla/5.0 (Windows NT 5.1) AppleWebKit/531.0 (KHTML, like Gecko) Chrome/21.0.813.0 Safari/531.0",Segment B,Assam,55.8.182.162,Log Data,Alert Data,Firewall,41.215.79.115,77.100.139.147
2023,February,12,21620,50742,UDP,102,Data,FTP,Unknown,12.84,Alert Triggered,Intrusion,Known Pattern B,Blocked,Medium,Jivin Bali,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_3 rv:2.0; sq-ML) AppleWebKit/531.44.6 (KHTML, like Gecko) Version/4.0.4 Safari/531.44.6",Segment A,Madhya Pradesh,91.201.63.108,Log Data,Unknown,Firewall,83.79.44.108,22.146.72.229
2021,March,28,26764,8140,UDP,1109,Control,DNS,Unknown,15.47,Alert Triggered,Intrusion,Known Pattern B,Ignored,Low,Priyansh Wadhwa,Opera/9.18.(X11; Linux i686; da-DK) Presto/2.9.165 Version/12.00,Segment B,Maharashtra,140.19.87.225,Log Data,Alert Data,Server,121.146.186.181,64.22.44.27
2023,February,27,64932,57455,ICMP,1379,Control,FTP,IoC Detected,6.63,Alert Triggered,Malware,Known Pattern B,Logged,Medium,Jivika Ganesh,Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_6_8; rv:1.9.3.20) Gecko/5971-01-24 09:48:40 Firefox/3.8,Segment A,Gujarat,27.1.202.72,Unknown,Unknown,Firewall,14.161.89.18,73.230.206.171
2023,August,27,48619,36837,TCP,1155,Data,DNS,Unknown,54.46,Alert Triggered,DDoS,Known Pattern A,Blocked,High,Ojas Joshi,"Mozilla/5.0 (iPod; U; CPU iPhone OS 3_1 like Mac OS X; ga-IE) AppleWebKit/535.50.3 (KHTML, like Gecko) Version/4.0.5 Mobile/8B119 Safari/6535.50.3",Segment B,Telangana,49.162.231.68,Log Data,Unknown,Server,120.221.239.5,160.80.203.46
2021,June,15,36106,37710,ICMP,787,Control,DNS,IoC Detected,89.15,Alert Triggered,Intrusion,Known Pattern A,Blocked,Medium,Priyansh Venkataraman,Mozilla/5.0 (compatible; MSIE 6.0; Windows NT 4.0; Trident/3.0),Segment A,Goa,Unknown,Unknown,Unknown,Firewall,4.166.18.238,207.163.171.160
2020,December,5,43805,3317,UDP,374,Control,DNS,Unknown,97.57,Unknown,Intrusion,Known Pattern A,Blocked,High,Krish Karnik,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_8_5 rv:2.0; nso-ZA) AppleWebKit/531.26.1 (KHTML, like Gecko) Version/4.1 Safari/531.26.1",Segment B,Maharashtra,81.67.222.22,Log Data,Alert Data,Firewall,104.155.40.73,72.245.200.84
2023,March,23,13703,35684,TCP,1018,Data,HTTP,Unknown,26.29,Alert Triggered,DDoS,Known Pattern A,Blocked,Low,Yuvraj  Vohra,Opera/8.21.(X11; Linux x86_64; az-AZ) Presto/2.9.189 Version/12.00,Segment B,Himachal Pradesh,83.54.150.111,Log Data,Alert Data,Firewall,50.155.204.57,222.16.17.211
2022,September,26,18218,43908,UDP,185,Control,DNS,IoC Detected,34.86,Unknown,Malware,Known Pattern B,Ignored,Low,Zain Kothari,Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 5.0; Trident/4.0),Segment C,Rajasthan,Unknown,Log Data,Unknown,Firewall,11.104.71.222,181.165.51.20
2020,January,25,54130,30145,UDP,1086,Control,FTP,IoC Detected,57.79,Alert Triggered,Malware,Known Pattern A,Logged,High,Vihaan Devi,"Mozilla/5.0 (iPhone; CPU iPhone OS 5_1_1 like Mac OS X) AppleWebKit/533.0 (KHTML, like Gecko) FxiOS/10.6j4945.0 Mobile/91B081 Safari/533.0",Segment C,Karnataka,Unknown,Log Data,Unknown,Server,46.135.213.66,147.70.95.207
2023,July,21,13408,12739,UDP,233,Control,HTTP,Unknown,16.31,Alert Triggered,Malware,Known Pattern B,Logged,Low,Kavya Rao,"Mozilla/5.0 (Windows; U; Windows NT 5.0) AppleWebKit/534.42.2 (KHTML, like Gecko) Version/4.0.5 Safari/534.42.2",Segment A,Rajasthan,Unknown,Log Data,Unknown,Server,210.133.247.45,186.91.59.186
2021,October,3,25872,25166,UDP,209,Control,HTTP,Unknown,76.08,Unknown,Intrusion,Known Pattern B,Logged,Medium,Baiju Rana,"Mozilla/5.0 (Linux; Android 4.4) AppleWebKit/534.0 (KHTML, like Gecko) Chrome/63.0.816.0 Safari/534.0",Segment C,Odisha,Unknown,Log Data,Unknown,Firewall,172.143.33.90,32.72.223.198
2021,August,13,64000,12263,ICMP,1154,Control,DNS,IoC Detected,63.38,Alert Triggered,Intrusion,Known Pattern A,Ignored,Low,Saanvi Mahajan,Mozilla/5.0 (Android 2.2.2; Mobile; rv:14.0) Gecko/14.0 Firefox/14.0,Segment B,Maharashtra,194.49.103.98,Log Data,Unknown,Server,54.211.136.238,93.139.104.144
2023,April,14,33665,12176,TCP,533,Data,DNS,IoC Detected,44.76,Unknown,Malware,Known Pattern A,Logged,Low,Elakshi Koshy,Opera/9.29.(Windows NT 5.01; crh-UA) Presto/2.9.174 Version/12.00,Segment B,Maharashtra,6.190.21.69,Unknown,Alert Data,Server,208.2.213.239,147.134.42.172
2021,October,27,45803,60089,UDP,1325,Control,DNS,Unknown,98.25,Alert Triggered,Intrusion,Known Pattern B,Logged,Medium,Manikya Karpe,Mozilla/5.0 (compatible; MSIE 5.0; Windows NT 4.0; Trident/5.1),Segment A,Tamil Nadu,142.253.93.102,Unknown,Alert Data,Firewall,120.240.122.243,155.136.208.243
2021,May,24,3128,45134,TCP,533,Control,FTP,IoC Detected,66.33,Unknown,Malware,Known Pattern A,Blocked,Medium,Lakshit Rastogi,Mozilla/5.0 (compatible; MSIE 7.0; Windows 98; Trident/4.0),Segment A,Nagaland,Unknown,Log Data,Unknown,Server,37.166.90.16,82.172.197.213
2022,April,28,20534,47188,TCP,1168,Data,DNS,IoC Detected,68.51,Unknown,Intrusion,Known Pattern B,Logged,High,Saanvi Raval,"Mozilla/5.0 (iPod; U; CPU iPhone OS 3_3 like Mac OS X; fil-PH) AppleWebKit/535.35.7 (KHTML, like Gecko) Version/4.0.5 Mobile/8B118 Safari/6535.35.7",Segment B,Kerala,Unknown,Log Data,Alert Data,Server,164.19.99.44,87.99.37.60
2020,June,3,20874,43751,UDP,592,Data,HTTP,Unknown,18.94,Alert Triggered,DDoS,Known Pattern B,Logged,Medium,Sana Suri,"Mozilla/5.0 (Linux; Android 1.1) AppleWebKit/534.1 (KHTML, like Gecko) Chrome/15.0.890.0 Safari/534.1",Segment A,Telangana,176.116.227.207,Unknown,Unknown,Server,52.158.82.90,143.84.243.142
2021,June,22,65247,65509,TCP,1147,Control,HTTP,IoC Detected,33.05,Unknown,DDoS,Known Pattern A,Ignored,High,Misha Barad,"Mozilla/5.0 (Windows CE) AppleWebKit/533.0 (KHTML, like Gecko) Chrome/22.0.894.0 Safari/533.0",Segment A,Odisha,100.46.53.200,Log Data,Alert Data,Server,12.18.70.206,211.97.56.117
2020,July,28,39586,45830,UDP,269,Control,DNS,IoC Detected,30.93,Unknown,Intrusion,Known Pattern A,Logged,Medium,Akarsh Ahluwalia,"Mozilla/5.0 (Macintosh; PPC Mac OS X 10_8_3) AppleWebKit/536.2 (KHTML, like Gecko) Chrome/33.0.865.0 Safari/536.2",Segment B,Meghalaya,Unknown,Unknown,Alert Data,Firewall,172.234.61.176,173.13.255.165
2022,January,18,7368,55733,ICMP,1151,Data,HTTP,Unknown,82.07,Unknown,DDoS,Known Pattern B,Logged,Medium,Samar Khare,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_12_4 rv:2.0; ha-NG) AppleWebKit/534.3.7 (KHTML, like Gecko) Version/4.0.4 Safari/534.3.7",Segment C,Goa,184.196.142.68,Log Data,Unknown,Server,208.24.238.96,84.67.132.72
2020,February,20,15095,13333,UDP,548,Data,DNS,IoC Detected,91.63,Alert Triggered,DDoS,Known Pattern A,Blocked,Medium,Vidur Sarkar,"Mozilla/5.0 (iPhone; CPU iPhone OS 12_4_8 like Mac OS X) AppleWebKit/532.1 (KHTML, like Gecko) FxiOS/13.4t1250.0 Mobile/43H225 Safari/532.1",Segment B,Odisha,102.222.165.14,Unknown,Unknown,Firewall,43.4.118.138,154.155.206.225
2023,July,25,27807,19987,TCP,1322,Control,DNS,Unknown,97.3,Unknown,Malware,Known Pattern A,Ignored,Medium,Indranil Halder,Opera/8.70.(Windows 98; st-ZA) Presto/2.9.180 Version/10.00,Segment C,Jharkhand,Unknown,Unknown,Alert Data,Server,5.71.238.92,49.70.37.185
2022,September,5,39847,28150,TCP,983,Data,FTP,IoC Detected,65.8,Unknown,Malware,Known Pattern A,Ignored,High,Divit Sama,Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 10.0; Trident/4.1),Segment B,Himachal Pradesh,Unknown,Log Data,Unknown,Server,157.174.69.226,164.117.231.3
2023,September,29,35581,49881,UDP,711,Control,DNS,IoC Detected,40.97,Alert Triggered,Malware,Known Pattern A,Ignored,High,Zara Manne,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_1; rv:1.9.6.20) Gecko/9273-10-10 10:40:54 Firefox/3.8,Segment C,West Bengal,151.231.89.25,Log Data,Alert Data,Firewall,219.94.190.230,8.50.207.64
2021,June,23,27646,51773,TCP,643,Control,HTTP,Unknown,50.81,Unknown,Malware,Known Pattern A,Ignored,High,Uthkarsh Kari,"Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_7_8 rv:5.0; ht-HT) AppleWebKit/533.37.7 (KHTML, like Gecko) Version/5.0.1 Safari/533.37.7",Segment B,Gujarat,Unknown,Log Data,Unknown,Firewall,3.163.238.240,129.204.80.116
2020,September,10,16887,58201,UDP,596,Data,DNS,Unknown,57.49,Unknown,Intrusion,Known Pattern B,Ignored,High,Vidur Balakrishnan,Opera/8.29.(Windows NT 6.2; lt-LT) Presto/2.9.177 Version/12.00,Segment A,Odisha,Unknown,Log Data,Unknown,Firewall,101.97.146.83,13.52.55.91
2022,May,5,58891,44620,TCP,643,Data,DNS,Unknown,51.57,Unknown,Intrusion,Known Pattern A,Blocked,High,Siya Shroff,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/532.1 (KHTML, like Gecko) Chrome/56.0.866.0 Safari/532.1",Segment A,Jharkhand,Unknown,Unknown,Unknown,Firewall,116.215.78.143,18.252.60.219
2021,June,5,56779,23791,UDP,949,Data,FTP,Unknown,68.47,Alert Triggered,Intrusion,Known Pattern A,Logged,Medium,Aarav Dara,Mozilla/5.0 (compatible; MSIE 5.0; Windows NT 4.0; Trident/5.0),Segment B,Sikkim,59.31.249.32,Log Data,Unknown,Server,215.64.100.118,124.135.116.65
2021,June,9,64830,22433,UDP,1226,Control,FTP,IoC Detected,11.25,Unknown,DDoS,Known Pattern A,Logged,Low,Ehsaan Kale,Mozilla/5.0 (compatible; MSIE 5.0; Windows NT 6.1; Trident/3.0),Segment C,Chhattisgarh,Unknown,Unknown,Unknown,Firewall,111.4.210.85,32.127.160.237
2022,August,27,20774,62841,UDP,780,Control,HTTP,Unknown,9.89,Alert Triggered,Malware,Known Pattern A,Logged,Medium,Aniruddh Cheema,Mozilla/5.0 (Windows NT 5.01; eo-US; rv:1.9.1.20) Gecko/2387-04-17 04:42:38 Firefox/13.0,Segment B,Nagaland,116.78.253.124,Log Data,Alert Data,Firewall,4.168.250.107,111.247.220.32
2021,January,4,33887,44313,ICMP,1331,Data,HTTP,Unknown,74.64,Unknown,Intrusion,Known Pattern B,Blocked,Low,Shaan Srinivasan,"Mozilla/5.0 (Windows 95) AppleWebKit/534.2 (KHTML, like Gecko) Chrome/38.0.879.0 Safari/534.2",Segment B,Tamil Nadu,77.64.240.8,Log Data,Alert Data,Firewall,166.3.181.178,47.164.170.155
2022,June,2,28637,16994,TCP,1123,Data,FTP,IoC Detected,82.02,Alert Triggered,Malware,Known Pattern B,Blocked,Medium,Mohanlal Sani,Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/3.0),Segment B,Nagaland,5.34.16.86,Unknown,Alert Data,Firewall,32.32.229.218,58.230.77.236
2021,May,14,4476,47327,TCP,172,Data,HTTP,IoC Detected,69.82,Unknown,Malware,Known Pattern B,Ignored,High,Divit Ghosh,"Mozilla/5.0 (Windows; U; Windows 95) AppleWebKit/534.9.6 (KHTML, like Gecko) Version/5.0 Safari/534.9.6",Segment A,Uttar Pradesh,89.74.13.3,Log Data,Alert Data,Firewall,24.80.223.85,119.54.200.195
2023,September,5,23005,43342,ICMP,308,Control,FTP,Unknown,26.47,Alert Triggered,Intrusion,Known Pattern A,Blocked,Low,Lagan Biswas,Mozilla/5.0 (X11; Linux i686; rv:1.9.6.20) Gecko/2734-04-16 13:16:12 Firefox/8.0,Segment C,Meghalaya,Unknown,Unknown,Alert Data,Firewall,79.182.113.64,162.204.131.30
2020,October,13,27918,41208,TCP,1474,Control,FTP,IoC Detected,80.7,Unknown,DDoS,Known Pattern B,Blocked,Medium,Chirag Chandra,Mozilla/5.0 (compatible; MSIE 5.0; Windows NT 5.2; Trident/5.0),Segment A,Gujarat,16.74.77.76,Unknown,Alert Data,Firewall,221.63.77.170,26.9.10.208
2020,October,14,13872,16425,ICMP,1087,Data,HTTP,Unknown,50.71,Alert Triggered,Intrusion,Known Pattern B,Logged,Low,Shanaya Gill,Mozilla/5.0 (Android 5.0.2; Mobile; rv:65.0) Gecko/65.0 Firefox/65.0,Segment B,Goa,16.96.42.13,Unknown,Unknown,Firewall,125.35.128.194,130.9.15.108
2020,August,29,33094,30341,UDP,606,Data,FTP,IoC Detected,97.81,Unknown,DDoS,Known Pattern B,Logged,Low,Madhup Bhatt,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_0) AppleWebKit/534.1 (KHTML, like Gecko) Chrome/53.0.835.0 Safari/534.1",Segment A,Uttar Pradesh,Unknown,Log Data,Alert Data,Firewall,33.155.164.204,104.130.192.216
2022,March,16,23723,58829,UDP,1213,Control,DNS,Unknown,24.9,Unknown,Malware,Known Pattern A,Ignored,Medium,Advik Gara,"Mozilla/5.0 (Windows 98) AppleWebKit/532.2 (KHTML, like Gecko) Chrome/43.0.820.0 Safari/532.2",Segment B,Karnataka,193.107.115.71,Log Data,Unknown,Server,150.0.73.227,190.190.11.3
2021,December,5,61821,24021,TCP,261,Data,HTTP,Unknown,96.7,Alert Triggered,Intrusion,Known Pattern A,Blocked,Low,Hiran Tella,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/533.0 (KHTML, like Gecko) Chrome/38.0.802.0 Safari/533.0",Segment A,Gujarat,5.138.245.6,Unknown,Alert Data,Firewall,114.108.210.17,166.216.33.160
2020,October,27,34622,18126,TCP,1446,Data,HTTP,Unknown,48.78,Unknown,DDoS,Known Pattern A,Ignored,High,Rohan Kale,Opera/9.85.(Windows NT 5.2; raj-IN) Presto/2.9.165 Version/11.00,Segment A,Bihar,Unknown,Unknown,Alert Data,Firewall,38.8.36.113,222.170.67.5
2022,June,16,52743,36146,ICMP,1189,Control,DNS,IoC Detected,0.87,Unknown,Malware,Known Pattern B,Logged,Medium,Suhana Sama,Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 10.0; Trident/4.0),Segment A,Jharkhand,Unknown,Log Data,Alert Data,Firewall,98.57.14.34,158.19.64.182
2023,March,25,40129,39084,UDP,1170,Control,HTTP,IoC Detected,40.14,Unknown,Malware,Known Pattern A,Blocked,Medium,Hansh Bhalla,Mozilla/5.0 (X11; Linux i686; rv:1.9.6.20) Gecko/5783-09-04 13:03:27 Firefox/5.0,Segment B,Tripura,Unknown,Log Data,Alert Data,Firewall,54.146.131.68,68.77.90.170
2021,April,30,63069,11897,UDP,257,Data,FTP,IoC Detected,67.21,Unknown,Intrusion,Known Pattern A,Blocked,Medium,Kimaya Sem,"Mozilla/5.0 (Linux; Android 3.2.1) AppleWebKit/532.1 (KHTML, like Gecko) Chrome/43.0.847.0 Safari/532.1",Segment A,Kerala,6.221.253.80,Log Data,Unknown,Firewall,10.222.55.18,2.194.105.251
2022,August,25,11129,63609,ICMP,1149,Control,DNS,Unknown,66.99,Alert Triggered,DDoS,Known Pattern A,Ignored,High,Seher Sabharwal,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/535.0 (KHTML, like Gecko) Chrome/27.0.848.0 Safari/535.0",Segment B,Punjab,96.119.128.244,Log Data,Unknown,Firewall,199.154.74.200,52.231.28.143
2023,January,27,35758,41145,TCP,794,Control,DNS,IoC Detected,30.23,Unknown,DDoS,Known Pattern A,Ignored,Medium,Mamooty Savant,Opera/8.49.(Windows 98; Win 9x 4.90; am-ET) Presto/2.9.182 Version/12.00,Segment A,Sikkim,105.99.194.207,Log Data,Alert Data,Firewall,59.202.110.44,62.179.138.23
2020,January,11,27652,15731,ICMP,434,Data,FTP,IoC Detected,94.58,Alert Triggered,Malware,Known Pattern B,Logged,Medium,Rhea Loke,Mozilla/5.0 (Windows NT 6.2; ia-FR; rv:1.9.0.20) Gecko/8406-04-12 11:56:34 Firefox/3.6.3,Segment B,Himachal Pradesh,Unknown,Log Data,Alert Data,Server,152.136.170.248,204.54.24.2
2020,October,20,53846,34479,TCP,1287,Data,FTP,IoC Detected,17.84,Alert Triggered,Malware,Known Pattern A,Logged,Medium,Riya Khatri,"Mozilla/5.0 (iPad; CPU iPad OS 10_3_3 like Mac OS X) AppleWebKit/533.0 (KHTML, like Gecko) FxiOS/14.2m0518.0 Mobile/30N797 Safari/533.0",Segment C,Mizoram,130.81.112.48,Log Data,Unknown,Server,48.91.92.58,34.163.241.204
2023,May,27,18815,44410,ICMP,624,Control,HTTP,Unknown,68.87,Alert Triggered,Intrusion,Known Pattern B,Ignored,Low,Shayak Kadakia,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/533.2 (KHTML, like Gecko) Chrome/53.0.834.0 Safari/533.2",Segment A,Punjab,194.3.23.106,Unknown,Alert Data,Firewall,6.233.175.65,110.138.177.151
2021,May,27,13090,30291,UDP,1076,Data,DNS,Unknown,20.32,Unknown,Intrusion,Known Pattern B,Logged,Low,Jivika Choudhary,"Mozilla/5.0 (iPod; U; CPU iPhone OS 3_1 like Mac OS X; sw-TZ) AppleWebKit/533.39.5 (KHTML, like Gecko) Version/4.0.5 Mobile/8B112 Safari/6533.39.5",Segment B,Manipur,31.75.96.23,Unknown,Alert Data,Firewall,112.103.154.86,197.236.63.157
2022,July,5,40539,54212,TCP,147,Data,DNS,Unknown,28.28,Unknown,DDoS,Known Pattern B,Blocked,Low,Tushar Shan,Opera/8.97.(Windows NT 5.0; bg-BG) Presto/2.9.167 Version/12.00,Segment A,Uttarakhand,Unknown,Log Data,Alert Data,Server,13.194.105.65,153.118.66.20
2023,January,6,56935,41003,UDP,383,Data,DNS,Unknown,59.66,Alert Triggered,Intrusion,Known Pattern B,Ignored,Low,Nakul Sarkar,Opera/9.41.(X11; Linux x86_64; xh-ZA) Presto/2.9.161 Version/10.00,Segment B,Tamil Nadu,125.74.33.220,Log Data,Unknown,Server,141.255.215.212,220.127.163.88
2023,June,24,49069,14737,UDP,785,Control,HTTP,IoC Detected,42.32,Unknown,Malware,Known Pattern B,Ignored,Low,Lakshit Bhagat,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/536.2 (KHTML, like Gecko) Chrome/25.0.854.0 Safari/536.2",Segment C,Assam,97.86.241.169,Log Data,Unknown,Server,141.126.228.21,62.195.63.165
2023,April,18,40526,4334,TCP,1411,Data,HTTP,IoC Detected,83.56,Alert Triggered,DDoS,Known Pattern A,Blocked,Low,Ehsaan Vig,Mozilla/5.0 (compatible; MSIE 5.0; Windows 98; Win 9x 4.90; Trident/3.1),Segment A,Nagaland,Unknown,Unknown,Alert Data,Firewall,36.221.232.54,60.75.105.57
2020,August,28,26451,6096,ICMP,1237,Control,FTP,IoC Detected,76.64,Alert Triggered,DDoS,Known Pattern A,Ignored,High,Aaina Ramakrishnan,"Mozilla/5.0 (iPhone; CPU iPhone OS 4_2_1 like Mac OS X) AppleWebKit/534.1 (KHTML, like Gecko) FxiOS/10.3b5033.0 Mobile/19Q497 Safari/534.1",Segment A,Haryana,218.153.29.152,Log Data,Unknown,Firewall,148.244.125.164,108.44.46.241
