Student_ID,Name,Age,Gender,Grade_Level,Math_Score,English_Score,Science_Score,History_Score,Attendance_Rate,Participation_Rate,Parental_Involvement,Study_Hours_Per_Week,Extracurricular_Activities,Scholarship_Status,Household_Income,School_Funding_Level,Technology_Access,Test_Anxiety_Level,Future_Plans
S0217,Student_217,16,Male,Sophomore,54,43,57,51,94.52,85.59,Medium,12,Clubs,No,98818,Medium,Yes,Low,College
S0218,Student_218,24,Female,Sophomore,45,89,79,80,93.19,83.37,Low,14,Sports,Yes,86517,Medium,Yes,Medium,Undecided
S0219,Student_219,25,Female,Freshman,56,60,87,51,82.9,63.18,Medium,33,Clubs,No,86580,Low,Yes,High,Gap Year
S0220,Student_220,24,Female,Freshman,53,97,74,74,97.36,85.72,Medium,9,Sports,Yes,82876,High,Yes,Medium,Gap Year
S0221,Student_221,16,Female,Junior,52,53,67,70,95.85,74.99,High,20,Arts,Yes,50063,Medium,Yes,Medium,Gap Year
S0222,Student_222,19,Non-Binary,Freshman,93,50,67,80,97.52,91.86,High,12,Clubs,No,33445,Medium,Yes,High,Gap Year
S0223,Student_223,20,Female,Sophomore,87,48,62,75,88.13,64.55,Low,9,Arts,No,68520,High,No,Low,Gap Year
S0224,Student_224,21,Male,Junior,94,64,46,90,84.39,84.09,High,31,Clubs,No,95187,Low,Yes,High,Job
S0225,Student_225,21,Male,Junior,44,53,41,83,81.29,83.12,Medium,9,None,Yes,53001,Medium,No,Medium,Undecided
S0226,Student_226,16,Non-Binary,Sophomore,44,59,96,42,93.32,67.96,Low,8,Clubs,Yes,23934,High,No,Medium,Undecided
S0227,Student_227,22,Female,Junior,41,44,60,48,79.37,72.51,Low,36,Clubs,Yes,71473,High,No,Medium,College
S0228,Student_228,19,Male,Sophomore,90,57,98,93,85.84,96.87,Medium,9,Clubs,Yes,37583,Low,Yes,High,Undecided
S0229,Student_229,16,Non-Binary,Senior,89,86,71,46,87.23,87.86,Medium,23,None,No,27933,Medium,Yes,High,College
S0230,Student_230,15,Non-Binary,Freshman,62,44,60,69,88.9,77.16,Low,15,Clubs,No,83923,High,No,High,Gap Year
S0231,Student_231,22,Male,Freshman,53,78,78,92,87.88,83.52,Low,23,Arts,Yes,60944,High,Yes,High,College
S0232,Student_232,25,Female,Junior,72,95,96,91,86.47,63.99,High,18,Arts,Yes,65747,High,No,Low,Gap Year
S0233,Student_233,17,Male,Junior,58,95,77,96,77.05,95.45,High,24,Sports,No,90804,High,No,High,Gap Year
S0234,Student_234,22,Male,Sophomore,48,81,67,44,77.3,91.12,Medium,24,None,No,33583,Low,No,Medium,Job
S0235,Student_235,20,Non-Binary,Sophomore,46,59,83,45,99.09,82.03,High,29,Sports,No,31603,High,Yes,Medium,Gap Year
S0236,Student_236,17,Female,Junior,86,80,40,56,91.43,81.79,Medium,16,Sports,No,40892,Low,No,Low,Job
S0237,Student_237,22,Male,Freshman,100,45,90,70,99.62,82.94,High,24,Arts,Yes,75272,Medium,No,High,College
S0238,Student_238,25,Non-Binary,Senior,91,91,71,41,87.17,89.95,Low,38,Arts,Yes,91449,Medium,No,Low,Undecided
S0239,Student_239,18,Female,Junior,46,44,46,54,89.41,93.8,Medium,9,None,Yes,82642,High,No,Medium,Gap Year
S0240,Student_240,20,Male,Senior,44,59,100,57,99.9,73.72,High,33,Arts,Yes,25702,Low,No,High,Job
S0241,Student_241,24,Female,Senior,50,44,50,76,95.31,78.05,High,40,None,No,46673,Medium,Yes,High,Job
S0242,Student_242,24,Non-Binary,Senior,88,56,57,78,75.29,93.64,Medium,25,None,No,82455,Low,Yes,Medium,Gap Year
S0243,Student_243,18,Male,Senior,86,91,59,63,92.15,65.66,High,19,Clubs,Yes,45574,Medium,No,Medium,Gap Year
S0244,Student_244,18,Non-Binary,Junior,93,44,61,99,76.38,91.09,Medium,25,Clubs,Yes,47367,Medium,No,High,Gap Year
S0245,Student_245,19,Female,Freshman,94,60,43,41,90.16,94.57,Medium,20,None,No,34502,Medium,Yes,Medium,Undecided
S0246,Student_246,16,Non-Binary,Junior,51,42,67,72,97.78,89.86,Low,28,None,Yes,69723,Low,No,Low,College
S0247,Student_247,21,Non-Binary,Freshman,82,91,55,57,92.99,80.9,Medium,12,Sports,Yes,71556,Medium,No,Medium,Gap Year
S0248,Student_248,19,Female,Junior,95,69,80,79,75.09,85.79,Low,9,Clubs,Yes,97030,Medium,Yes,Low,Job
S0249,Student_249,20,Female,Senior,87,81,83,86,95.12,93.22,Low,39,Clubs,No,39232,Medium,No,High,College
S0250,Student_250,22,Male,Freshman,94,59,98,45,77.61,71.37,Medium,15,Sports,No,21947,Medium,No,High,Undecided
S0251,Student_251,16,Male,Freshman,61,44,71,80,90.19,71.75,Medium,22,Arts,No,23529,Medium,Yes,Low,Undecided
S0252,Student_252,17,Female,Freshman,44,76,64,59,92.17,88.39,Low,21,Arts,No,99498,Medium,Yes,Low,Gap Year
S0253,Student_253,16,Non-Binary,Freshman,74,97,95,54,77.46,96.07,Low,38,Sports,No,21744,Low,No,High,Gap Year
S0254,Student_254,24,Non-Binary,Sophomore,98,72,83,62,88.4,93.4,Medium,40,Arts,No,47765,High,Yes,Low,Job
S0255,Student_255,21,Female,Freshman,47,43,85,67,87.59,64.27,Medium,12,None,No,27579,Low,Yes,Low,Gap Year
S0256,Student_256,16,Male,Senior,71,88,73,88,78.23,84.38,Medium,13,None,No,34948,Medium,No,Low,Job
S0257,Student_257,25,Male,Sophomore,59,72,54,79,84.91,69.32,High,31,Clubs,No,32175,Medium,Yes,Low,College
S0258,Student_258,18,Non-Binary,Freshman,48,50,51,72,85.24,88.65,High,37,None,No,28199,Medium,Yes,Low,Gap Year
S0259,Student_259,25,Female,Senior,52,81,47,61,95.82,72.4,Medium,14,Arts,Yes,93915,High,No,High,College
S0260,Student_260,23,Male,Freshman,69,60,82,57,88.72,79.77,Low,35,Sports,Yes,22863,High,No,Low,Gap Year
S0261,Student_261,15,Male,Senior,56,77,77,56,82.88,86.6,Medium,5,Sports,No,43186,High,Yes,Medium,Job
S0262,Student_262,22,Non-Binary,Sophomore,44,57,40,53,97.64,63.8,High,34,Arts,Yes,88861,High,No,Medium,Job
S0263,Student_263,19,Female,Junior,40,59,43,97,78.91,78.6,High,11,Clubs,Yes,86766,Medium,No,High,College
S0264,Student_264,16,Female,Senior,96,68,84,56,77.84,91.38,High,38,Sports,Yes,49325,Medium,No,Medium,College
S0265,Student_265,22,Female,Freshman,97,61,97,54,77.88,67.8,Low,19,Clubs,No,82785,Medium,Yes,Low,Gap Year
S0266,Student_266,16,Male,Senior,86,100,82,46,81.69,90.58,Medium,33,Arts,No,98412,Medium,Yes,Low,Job
S0267,Student_267,17,Female,Sophomore,85,76,52,50,89.04,87.39,Low,10,Clubs,No,77086,Low,Yes,High,Gap Year
S0268,Student_268,24,Female,Junior,78,56,44,62,88.69,89.49,Medium,20,Sports,No,27808,Low,No,High,Undecided
S0269,Student_269,24,Male,Senior,41,42,73,99,79.7,99.73,Low,15,None,Yes,55274,Low,Yes,Medium,College
S0270,Student_270,23,Non-Binary,Senior,72,65,97,72,76.18,94.95,Medium,21,None,Yes,72745,Low,Yes,High,Job
S0271,Student_271,19,Non-Binary,Sophomore,56,44,65,77,96.03,65.51,Medium,30,Clubs,No,83447,High,No,High,Gap Year
S0272,Student_272,18,Female,Freshman,89,65,96,50,88.72,76.7,High,8,Arts,No,24305,Low,Yes,High,College
S0273,Student_273,17,Male,Sophomore,60,61,74,92,77.53,71.08,Low,36,Sports,No,48607,Low,Yes,High,Gap Year
S0274,Student_274,19,Female,Freshman,77,92,74,56,78.73,63.04,Medium,10,Clubs,No,58504,High,Yes,Low,Gap Year
S0275,Student_275,22,Non-Binary,Senior,94,89,76,41,96.9,67.8,High,38,Arts,Yes,78466,Medium,No,Low,Undecided
S0276,Student_276,23,Male,Junior,56,85,44,82,90.88,62.61,Low,28,Clubs,No,54923,Low,Yes,High,College
S0277,Student_277,22,Male,Sophomore,91,97,96,50,82.16,85.58,Medium,29,Sports,Yes,35366,Medium,Yes,Low,College
S0278,Student_278,21,Non-Binary,Freshman,73,70,85,62,91.43,81.84,Medium,24,Sports,No,22193,High,No,High,Job
S0279,Student_279,24,Non-Binary,Junior,89,57,82,68,92.33,67.83,Medium,31,Sports,No,29744,Medium,No,Medium,Undecided
S0280,Student_280,24,Non-Binary,Senior,63,79,77,65,76.71,78.65,Low,7,Arts,No,86939,Medium,No,High,College
S0281,Student_281,21,Male,Freshman,48,50,91,84,83.92,73.51,High,18,Sports,No,92905,High,Yes,Medium,College
S0282,Student_282,23,Female,Junior,69,41,57,88,75.57,75.56,Low,7,Clubs,No,83314,Medium,Yes,Medium,Undecided
S0283,Student_283,19,Female,Sophomore,88,73,82,61,83.07,69.19,Low,27,Sports,Yes,67662,Low,Yes,Low,Undecided
S0284,Student_284,24,Non-Binary,Senior,95,95,79,100,95.34,92.87,Medium,28,Clubs,No,97650,Medium,Yes,Medium,Job
S0285,Student_285,25,Female,Sophomore,66,57,86,93,75.54,69.98,Medium,27,None,No,62287,Medium,Yes,Medium,Gap Year
S0286,Student_286,21,Male,Junior,51,67,47,53,99.38,71.86,Low,18,Sports,No,95072,High,Yes,Medium,Job
S0287,Student_287,17,Non-Binary,Freshman,76,47,79,74,80.62,85.14,High,7,Clubs,No,54966,Low,Yes,High,Job
S0288,Student_288,22,Male,Junior,65,56,69,76,93.9,83.6,High,25,Clubs,No,61960,Low,No,Low,Gap Year
S0289,Student_289,18,Male,Freshman,91,70,53,46,86.79,73.29,Low,36,None,No,78003,High,No,Low,College
S0290,Student_290,16,Non-Binary,Junior,46,63,63,65,84.06,98.66,High,9,Arts,Yes,96365,Medium,Yes,Low,College
S0291,Student_291,25,Male,Freshman,77,54,46,40,85.48,91.46,Low,19,Arts,Yes,56065,Medium,No,Low,College
S0292,Student_292,25,Non-Binary,Senior,94,81,53,63,96.03,82.44,High,28,Arts,No,98331,Medium,No,Medium,Undecided
S0293,Student_293,23,Non-Binary,Junior,79,41,98,62,92.0,68.36,Medium,40,None,Yes,79393,Low,No,High,College
S0294,Student_294,24,Female,Senior,95,54,43,81,78.43,73.1,Medium,28,Clubs,Yes,25777,High,No,Low,College
S0295,Student_295,17,Male,Junior,88,44,99,99,88.88,97.19,Medium,9,Clubs,No,87475,High,No,Low,Gap Year
S0296,Student_296,18,Non-Binary,Freshman,75,88,76,40,76.4,97.67,Low,28,Arts,Yes,58761,High,No,High,Job
S0297,Student_297,19,Non-Binary,Sophomore,94,48,72,87,75.06,75.29,Low,26,Arts,No,46747,Medium,Yes,High,Gap Year
S0298,Student_298,21,Male,Freshman,64,45,78,99,75.29,83.63,Low,14,Sports,Yes,87284,Low,Yes,Medium,Job
S0299,Student_299,25,Male,Freshman,54,82,53,70,83.28,93.53,Medium,33,Sports,No,86515,Low,Yes,Low,Gap Year
S0300,Student_300,19,Non-Binary,Junior,86,61,54,72,75.34,95.25,Medium,40,None,No,71634,High,Yes,High,Undecided
S0301,Student_301,15,Female,Sophomore,80,69,46,72,99.36,85.87,Medium,8,Clubs,No,91214,Low,No,Low,Gap Year
S0302,Student_302,18,Female,Freshman,89,43,80,95,94.09,97.46,High,32,Sports,Yes,77541,Medium,No,High,Gap Year
S0303,Student_303,16,Female,Freshman,84,40,86,43,81.27,69.97,Low,17,Sports,Yes,35398,Medium,Yes,Medium,Undecided
S0304,Student_304,24,Male,Freshman,71,72,52,64,78.22,73.69,High,39,Clubs,No,82175,Low,No,Medium,Job
S0305,Student_305,18,Female,Junior,47,58,96,40,96.08,78.38,High,11,Arts,No,46173,High,No,Medium,Undecided
S0306,Student_306,19,Male,Senior,87,64,61,64,78.34,68.69,High,39,Clubs,No,31856,Medium,No,High,Undecided
S0307,Student_307,22,Female,Freshman,64,90,57,53,94.7,89.31,High,15,None,No,42495,High,Yes,High,College
S0308,Student_308,21,Female,Junior,55,92,44,80,86.9,76.32,Medium,31,Clubs,Yes,71872,Low,No,High,Gap Year
S0309,Student_309,22,Male,Junior,63,75,81,60,77.27,85.69,Medium,7,Sports,No,92491,Low,Yes,Medium,Job
S0310,Student_310,17,Female,Freshman,98,100,82,83,90.32,64.63,Low,38,Arts,No,37195,Medium,No,Low,Gap Year
S0311,Student_311,20,Male,Junior,80,71,49,40,83.21,60.89,Low,33,Arts,Yes,90494,Low,No,Low,Gap Year
S0312,Student_312,17,Non-Binary,Senior,86,52,83,84,88.93,66.25,Low,11,Arts,Yes,96891,Low,No,Low,Gap Year
S0313,Student_313,15,Male,Senior,66,76,85,68,99.08,95.83,Medium,22,Clubs,Yes,53583,Low,Yes,Low,Job
S0314,Student_314,15,Female,Freshman,92,67,88,67,92.81,63.52,Medium,20,Clubs,No,91987,Medium,No,High,Job
S0315,Student_315,19,Male,Junior,68,95,55,71,92.08,70.04,Medium,38,None,No,22032,High,Yes,High,College
S0316,Student_316,20,Female,Sophomore,86,59,85,67,93.68,81.09,Medium,9,Sports,Yes,51774,Medium,Yes,High,Job
S0317,Student_317,18,Male,Freshman,65,85,57,79,92.64,77.7,Low,5,Clubs,Yes,95704,Low,Yes,Medium,College
S0318,Student_318,15,Female,Freshman,85,89,51,98,91.03,98.07,Medium,17,None,No,96674,High,No,Medium,Job
S0319,Student_319,23,Female,Junior,97,60,78,66,95.53,78.03,High,25,None,No,54344,Low,No,High,Undecided
S0320,Student_320,18,Female,Senior,97,96,87,99,80.0,71.74,High,40,None,Yes,38187,Low,Yes,Medium,Job
S0321,Student_321,24,Non-Binary,Sophomore,87,74,99,82,96.1,81.88,High,5,Sports,Yes,84294,Medium,Yes,High,Job
S0322,Student_322,24,Non-Binary,Sophomore,81,63,61,70,80.27,95.45,Medium,25,Arts,Yes,47870,High,Yes,High,Gap Year
S0323,Student_323,17,Male,Senior,74,46,95,80,85.65,74.48,Medium,33,Clubs,No,92618,Medium,Yes,High,Gap Year
S0324,Student_324,18,Male,Junior,95,95,96,51,77.37,90.56,Medium,10,None,Yes,47717,Medium,Yes,Low,Undecided
S0325,Student_325,22,Male,Junior,56,96,43,65,85.69,61.61,Medium,9,Sports,Yes,88534,High,Yes,Low,Job
S0326,Student_326,22,Female,Junior,54,80,84,53,88.81,69.81,Medium,24,None,Yes,63179,High,No,Low,Job
S0327,Student_327,22,Non-Binary,Sophomore,80,73,60,87,79.0,74.46,Low,33,Clubs,No,40559,Medium,No,Medium,Undecided
S0328,Student_328,21,Non-Binary,Junior,50,73,75,49,99.99,60.9,Low,13,Sports,No,95267,Medium,Yes,High,Job
S0329,Student_329,23,Non-Binary,Senior,82,47,86,45,97.47,76.36,Medium,9,Clubs,Yes,90151,High,Yes,Medium,Job
S0330,Student_330,24,Male,Freshman,74,97,62,73,83.56,83.72,Low,8,Arts,No,31760,High,Yes,Medium,Gap Year
S0331,Student_331,19,Non-Binary,Senior,97,92,92,42,90.26,70.76,Medium,17,Clubs,Yes,87329,Medium,No,Low,Gap Year
S0332,Student_332,21,Female,Junior,76,55,88,62,94.28,78.77,Medium,26,Sports,No,41041,Low,Yes,Medium,Job
S0333,Student_333,25,Male,Senior,89,94,65,66,90.44,66.66,Medium,10,Sports,No,89991,Medium,Yes,Low,Gap Year
S0334,Student_334,21,Female,Junior,46,56,79,53,87.94,71.78,Medium,28,Clubs,No,91208,Low,No,High,College
S0335,Student_335,25,Non-Binary,Senior,75,73,63,93,95.71,92.97,Low,9,Arts,Yes,67967,Low,Yes,High,Gap Year
S0336,Student_336,24,Male,Senior,70,61,75,46,89.17,63.27,Low,6,Arts,No,73713,Medium,No,Low,College
S0337,Student_337,24,Male,Freshman,68,56,92,88,76.15,74.39,Low,12,None,Yes,50252,Medium,No,High,Undecided
S0338,Student_338,19,Male,Freshman,61,55,50,57,86.28,79.05,High,30,None,Yes,94297,Medium,Yes,Low,Gap Year
S0339,Student_339,17,Female,Freshman,47,61,54,75,88.32,80.71,Low,27,Arts,Yes,43967,High,No,High,Gap Year
S0340,Student_340,24,Male,Senior,76,50,45,76,94.44,82.11,Medium,19,Clubs,No,78736,High,No,Medium,Gap Year
S0341,Student_341,18,Female,Senior,63,48,84,72,94.86,61.0,Medium,10,None,No,54779,Low,Yes,High,Undecided
S0342,Student_342,17,Female,Sophomore,44,44,86,53,95.29,71.78,Medium,9,Sports,Yes,89933,Medium,No,Low,College
S0343,Student_343,23,Non-Binary,Sophomore,96,99,96,70,88.52,81.24,Low,21,Arts,No,67698,Low,Yes,Medium,Undecided
S0344,Student_344,16,Male,Freshman,82,57,96,77,89.69,95.72,Medium,37,Clubs,Yes,57983,Medium,Yes,Low,Job
S0345,Student_345,20,Male,Freshman,83,41,64,67,76.02,71.27,Medium,9,None,Yes,22832,Low,Yes,High,Gap Year
S0346,Student_346,18,Non-Binary,Sophomore,65,92,81,94,95.39,83.49,Low,33,Arts,No,22972,Medium,No,Low,Gap Year
S0347,Student_347,18,Male,Freshman,76,65,64,63,90.34,61.75,High,30,Clubs,Yes,28613,Medium,Yes,Medium,Undecided
S0348,Student_348,20,Female,Junior,50,57,58,71,92.71,63.09,Low,20,None,No,87228,High,No,Medium,Gap Year
S0349,Student_349,23,Male,Freshman,45,67,41,82,97.16,81.82,Medium,36,Arts,No,59040,Low,Yes,Medium,Undecided
S0350,Student_350,18,Female,Senior,55,96,91,90,85.66,89.89,Medium,9,Sports,Yes,46168,Medium,No,Medium,Job
S0351,Student_351,25,Female,Sophomore,56,96,76,44,95.31,98.68,Medium,20,Arts,Yes,77741,Low,Yes,Low,Job
S0352,Student_352,24,Non-Binary,Junior,65,72,59,74,76.35,77.57,High,25,Clubs,No,84901,Medium,No,Medium,Job
S0353,Student_353,15,Non-Binary,Senior,99,80,71,58,84.63,62.65,High,17,Clubs,No,35113,Low,No,Low,College
S0354,Student_354,18,Non-Binary,Junior,93,74,80,96,95.8,87.93,High,7,Arts,No,86631,High,Yes,High,Job
S0355,Student_355,18,Female,Senior,46,56,68,82,79.3,96.37,Low,20,Sports,Yes,60274,Low,Yes,Medium,Gap Year
S0356,Student_356,16,Male,Junior,57,53,81,50,87.95,68.94,Low,38,Clubs,Yes,22705,Low,Yes,Medium,Gap Year
S0357,Student_357,22,Male,Senior,91,59,65,51,91.34,71.98,Low,12,Clubs,No,36956,High,Yes,Low,College
S0358,Student_358,24,Female,Senior,86,89,62,59,98.24,90.19,Medium,16,None,No,81270,High,Yes,Medium,College
S0359,Student_359,22,Non-Binary,Freshman,83,48,45,100,83.63,94.51,Medium,18,None,No,86038,High,Yes,Low,Gap Year
S0360,Student_360,25,Female,Sophomore,40,94,45,42,83.54,71.4,Medium,17,Sports,Yes,74386,High,Yes,Medium,College
S0361,Student_361,17,Female,Freshman,59,63,67,60,95.33,82.93,High,34,Clubs,No,87347,Medium,Yes,Low,Gap Year
S0362,Student_362,23,Non-Binary,Freshman,78,75,63,66,89.41,95.13,Low,39,Clubs,Yes,67278,High,No,High,College
S0363,Student_363,24,Male,Senior,94,65,64,59,94.35,83.82,Medium,12,Clubs,Yes,60310,High,Yes,Low,Job
S0364,Student_364,21,Non-Binary,Freshman,82,93,42,100,88.49,97.07,Medium,27,None,Yes,69606,High,Yes,Medium,Job
S0365,Student_365,22,Male,Freshman,45,84,94,52,89.69,97.61,Medium,12,Arts,Yes,62049,Medium,Yes,High,College
S0366,Student_366,18,Male,Sophomore,90,64,48,84,80.73,64.63,High,5,None,Yes,85560,Medium,Yes,Medium,Gap Year
S0367,Student_367,21,Non-Binary,Junior,45,70,71,54,93.42,70.55,Medium,26,Clubs,Yes,76177,High,Yes,Medium,College
S0368,Student_368,20,Non-Binary,Freshman,93,88,83,98,87.44,60.6,Low,33,None,No,53925,Low,Yes,High,College
S0369,Student_369,20,Male,Freshman,67,93,47,94,90.05,85.91,Medium,5,None,No,83109,Low,No,Medium,Undecided
S0370,Student_370,19,Female,Senior,66,85,46,60,76.42,91.51,Low,9,Arts,Yes,84116,Medium,Yes,Medium,Gap Year
S0371,Student_371,22,Female,Senior,44,79,64,59,98.07,70.74,High,25,Clubs,Yes,41884,Low,No,Medium,Undecided
S0372,Student_372,24,Non-Binary,Junior,80,46,99,64,97.58,95.03,High,7,Arts,Yes,21510,Low,Yes,Low,Undecided
S0373,Student_373,19,Female,Freshman,81,77,57,89,77.85,77.18,Low,5,Sports,Yes,69296,Low,No,Medium,College
S0374,Student_374,20,Female,Sophomore,80,84,97,63,92.64,68.27,Low,5,Arts,Yes,88693,Low,No,Medium,Job
S0375,Student_375,18,Male,Freshman,78,68,51,64,75.41,73.07,Medium,26,Sports,No,42261,Medium,Yes,Low,Undecided
S0376,Student_376,16,Female,Freshman,93,77,82,40,77.59,96.5,Low,16,Arts,No,37242,High,No,High,Gap Year
S0377,Student_377,25,Non-Binary,Sophomore,73,52,84,57,88.21,74.3,Low,23,Sports,No,86665,High,Yes,Medium,Undecided
S0378,Student_378,23,Non-Binary,Senior,96,42,97,74,85.61,71.1,High,35,Arts,Yes,50119,Low,Yes,Medium,College
S0379,Student_379,25,Female,Sophomore,97,53,50,94,83.77,95.76,High,40,None,No,77901,Medium,No,Medium,College
S0380,Student_380,15,Female,Freshman,70,84,73,49,81.88,78.02,Medium,10,Arts,No,26418,High,No,High,Gap Year
S0381,Student_381,16,Female,Freshman,40,59,86,70,91.0,88.95,High,26,Clubs,Yes,31333,Low,Yes,High,Undecided
S0382,Student_382,23,Male,Freshman,62,89,97,98,80.66,90.3,Medium,35,Arts,No,82998,Low,Yes,Low,College
S0383,Student_383,19,Female,Sophomore,75,76,49,93,78.32,84.33,Medium,15,Clubs,Yes,54431,High,No,Low,Job
S0384,Student_384,15,Female,Junior,60,62,91,44,94.02,62.32,Medium,22,Arts,Yes,45574,Low,Yes,High,Job
S0385,Student_385,16,Female,Sophomore,54,75,95,93,90.08,72.15,Medium,24,Clubs,Yes,31288,Low,No,High,Job
S0386,Student_386,21,Non-Binary,Freshman,47,99,84,87,90.78,99.67,Medium,39,Arts,Yes,57141,High,Yes,Medium,Undecided
S0387,Student_387,22,Non-Binary,Senior,53,54,86,74,85.76,99.13,High,40,Arts,No,98580,High,No,Medium,Gap Year
S0388,Student_388,17,Female,Sophomore,92,67,52,67,77.21,62.22,High,18,Clubs,Yes,55742,Low,Yes,Medium,Gap Year
S0389,Student_389,20,Non-Binary,Sophomore,68,46,86,73,84.83,85.13,High,38,Sports,No,81812,Low,Yes,High,Gap Year
S0390,Student_390,21,Female,Senior,98,44,87,58,81.66,87.15,Low,27,Clubs,Yes,95576,Medium,Yes,Low,College
S0391,Student_391,22,Male,Senior,86,60,93,76,86.81,93.48,Low,28,Arts,Yes,67142,Medium,No,Low,College
S0392,Student_392,19,Male,Junior,81,51,44,49,75.64,92.79,Low,23,Arts,Yes,66553,High,Yes,Low,Gap Year
S0393,Student_393,19,Male,Sophomore,71,45,79,59,98.7,83.19,High,6,Arts,No,26045,Low,Yes,Low,Undecided
S0394,Student_394,25,Female,Freshman,51,48,76,99,93.56,88.13,High,33,Arts,No,74105,High,Yes,Low,College
S0395,Student_395,19,Non-Binary,Junior,47,72,58,40,79.48,98.53,High,27,None,Yes,33839,Medium,No,Low,Gap Year
S0396,Student_396,17,Female,Sophomore,85,63,56,52,86.05,84.02,Low,14,Arts,No,75450,Medium,No,Medium,Gap Year
S0397,Student_397,25,Male,Junior,42,73,63,44,87.89,97.31,Low,39,Sports,No,84880,High,Yes,Low,Job
S0398,Student_398,18,Male,Freshman,40,90,46,89,83.17,80.53,Medium,15,None,Yes,27489,Medium,No,Low,College
S0399,Student_399,16,Female,Junior,42,80,69,50,75.8,75.34,High,29,None,No,44299,Medium,No,High,Job
S0400,Student_400,16,Female,Sophomore,86,75,56,40,94.03,71.35,High,25,None,No,85874,Medium,Yes,Medium,Gap Year
S0401,Student_401,18,Male,Sophomore,98,64,100,81,96.84,72.54,High,22,None,No,92193,High,Yes,Medium,College
S0402,Student_402,20,Male,Junior,87,80,89,86,77.88,99.98,Low,24,None,Yes,80680,Medium,Yes,High,Job
S0403,Student_403,25,Male,Freshman,89,89,46,89,85.96,74.61,Medium,19,Clubs,Yes,83871,High,Yes,Low,College
S0404,Student_404,15,Male,Junior,66,100,70,49,97.89,61.66,High,26,Sports,Yes,63108,Medium,No,High,Undecided
S0405,Student_405,17,Male,Sophomore,44,49,59,79,78.7,73.04,Low,36,None,Yes,75275,Medium,No,Low,Gap Year
S0406,Student_406,24,Male,Senior,81,50,60,66,85.9,99.55,Medium,22,Arts,Yes,76421,Medium,Yes,High,College
S0407,Student_407,19,Female,Sophomore,57,58,59,42,82.78,82.16,Low,30,Sports,No,55425,Medium,Yes,Low,Job
S0408,Student_408,23,Male,Freshman,97,87,55,71,93.38,75.02,High,16,Clubs,Yes,21402,High,Yes,High,College
S0409,Student_409,25,Non-Binary,Freshman,45,42,93,99,93.75,72.7,Low,15,None,No,52736,Low,Yes,High,College
S0410,Student_410,19,Male,Junior,81,69,74,97,81.15,75.89,Low,35,None,Yes,51989,High,Yes,Medium,Undecided
S0411,Student_411,22,Male,Freshman,48,86,97,84,78.41,69.01,Low,36,Clubs,No,51369,Low,No,Medium,Job
S0412,Student_412,22,Non-Binary,Freshman,72,79,64,100,91.06,79.37,Low,35,None,No,81989,Low,No,Low,College
S0413,Student_413,21,Male,Sophomore,73,73,98,59,98.94,78.71,Medium,21,Clubs,Yes,20023,High,No,Low,Gap Year
S0414,Student_414,25,Non-Binary,Sophomore,67,80,75,89,76.95,79.62,High,22,None,No,33007,High,Yes,Low,College
S0415,Student_415,20,Male,Sophomore,92,70,49,81,84.3,91.08,High,33,None,No,42363,High,No,Low,College
S0416,Student_416,20,Female,Sophomore,77,78,74,56,92.79,98.93,Low,38,Arts,Yes,87025,Low,Yes,High,College
S0417,Student_417,18,Female,Freshman,45,85,56,83,80.76,87.01,Low,39,None,Yes,50225,Medium,Yes,Low,Undecided
S0418,Student_418,15,Non-Binary,Junior,59,47,40,53,77.69,83.59,Low,16,Arts,Yes,23742,Low,Yes,Medium,Gap Year
S0419,Student_419,24,Female,Freshman,86,60,61,58,97.46,89.05,Medium,23,Arts,No,60367,Low,No,Low,College
S0420,Student_420,22,Non-Binary,Freshman,54,60,41,73,80.61,70.77,High,6,None,Yes,32421,Low,No,High,College
S0421,Student_421,19,Male,Freshman,89,73,64,84,76.82,99.81,Medium,15,Clubs,No,83509,Medium,Yes,High,Gap Year
S0422,Student_422,17,Non-Binary,Junior,50,100,42,92,82.58,91.9,Medium,21,Clubs,Yes,70147,High,No,High,College
S0423,Student_423,24,Female,Junior,79,90,91,57,85.83,97.15,High,19,Clubs,Yes,42618,High,No,Low,Gap Year
S0424,Student_424,17,Female,Freshman,56,77,50,70,98.31,86.03,Medium,26,Arts,No,68630,Low,No,Medium,College
S0425,Student_425,21,Male,Sophomore,60,93,73,72,97.67,64.05,Medium,6,Sports,No,27231,Medium,No,Medium,Undecided
S0426,Student_426,16,Non-Binary,Freshman,93,46,44,87,85.74,76.15,High,12,None,No,83016,High,Yes,High,Job
S0427,Student_427,15,Non-Binary,Sophomore,85,56,45,40,91.03,91.97,Medium,12,Clubs,No,62447,Medium,No,Medium,Gap Year
S0428,Student_428,17,Female,Junior,86,89,84,65,97.41,60.73,Medium,32,Sports,No,68093,Low,Yes,Low,Undecided
S0429,Student_429,21,Female,Junior,83,54,97,78,85.27,82.66,Low,35,Arts,Yes,20568,High,Yes,Low,Job
S0430,Student_430,25,Male,Sophomore,58,71,67,67,95.91,91.6,Low,13,None,Yes,35655,Medium,Yes,Medium,Job
S0431,Student_431,21,Male,Senior,76,99,84,78,83.7,98.03,Low,26,None,No,58559,Low,No,High,Undecided
S0432,Student_432,23,Female,Junior,73,98,71,57,86.89,60.12,Medium,7,None,Yes,87771,High,No,High,Gap Year
